UID          PID    PPID  C STIME TTY          TIME CMD
jpyeon      1490    1487  0 20:46 pts/0    00:00:04 /usr/bin/zsh
jpyeon      4399    1168  2 20:52 ?        00:03:15 /usr/lib/firefox-esr/firefox-esr
jpyeon      4483     990  0 20:52 ?        00:00:00 /usr/libexec/xdg-desktop-portal
jpyeon      4488     990  0 20:52 ?        00:00:00 /usr/libexec/xdg-document-portal
jpyeon      4492     990  0 20:52 ?        00:00:00 /usr/libexec/xdg-permission-store
root        4499    4488  0 20:52 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
jpyeon      4503     990  0 20:52 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
jpyeon      4535    4399  0 20:52 ?        00:00:00 /usr/lib/firefox-esr/firefox-esr -contentproc -parentBuildID 20230821110938 -prefsLen 20277 -prefMapSize 233266 -appDir /usr/lib/firefox-esr/browser {494c4946-55fd-4f33-8dcb-9a5c0efc28ae} 4399 true socket
jpyeon      4580    4399  0 20:52 ?        00:00:00 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 1 -isForBrowser -prefsLen 20674 -prefMapSize 233266 -jsInitLen 240916 -parentBuildID 20230821110938 -appDir /usr/lib/firefox-esr/browser {d6aa596d-dde3-4c91-944a-517d32c10f4d} 4399 true tab
jpyeon      4706    4399  0 20:52 ?        00:00:20 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 4 -isForBrowser -prefsLen 27052 -prefMapSize 233266 -jsInitLen 240916 -parentBuildID 20230821110938 -appDir /usr/lib/firefox-esr/browser {95e5814e-3ee9-4013-aa4d-5c332e9b47cd} 4399 true tab
jpyeon      4722    4399  0 20:52 ?        00:00:02 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 5 -isForBrowser -prefsLen 30768 -prefMapSize 233266 -jsInitLen 240916 -parentBuildID 20230821110938 -appDir /usr/lib/firefox-esr/browser {e9152dc2-7bbe-40b7-8618-22bb2d3ab1e9} 4399 true tab
jpyeon      8155       1  0 20:58 ?        00:00:00 /usr/lib/speech-dispatcher-modules/sd_espeak-ng /etc/speech-dispatcher/modules/espeak-ng.conf
jpyeon      8166       1  0 20:58 ?        00:00:01 /usr/lib/speech-dispatcher-modules/sd_dummy /etc/speech-dispatcher/modules/dummy.conf
jpyeon      8169       1  0 20:58 ?        00:00:00 /usr/bin/speech-dispatcher --spawn --communication-method unix_socket --socket-path /run/user/1000/speech-dispatcher/speechd.sock
root       10505       2  0 21:03 ?        00:00:00 [kworker/3:2-events]
jpyeon     10522    4399  0 21:03 ?        00:00:15 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 13 -isForBrowser -prefsLen 30207 -prefMapSize 233266 -jsInitLen 240916 -parentBuildID 20230821110938 -appDir /usr/lib/firefox-esr/browser {8db54fe2-9e32-45e5-b983-339980f3b62f} 4399 true tab
root       35659       2  0 21:55 ?        00:00:00 [kworker/u8:1-events_unbound]
jpyeon     37686    4399  0 21:58 ?        00:00:01 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 15 -isForBrowser -prefsLen 30462 -prefMapSize 233266 -jsInitLen 240916 -parentBuildID 20230821110938 -appDir /usr/lib/firefox-esr/browser {cde311ba-f458-4447-8cfb-359a26bc9bf4} 4399 true tab
jpyeon     37819    4399  0 21:59 ?        00:00:04 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 16 -isForBrowser -prefsLen 30462 -prefMapSize 233266 -jsInitLen 240916 -parentBuildID 20230821110938 -appDir /usr/lib/firefox-esr/browser {693f9e71-3e35-4d16-a259-a9441360aea0} 4399 true tab
jpyeon     38997    4399  0 22:01 ?        00:00:19 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 18 -isForBrowser -prefsLen 30462 -prefMapSize 233266 -jsInitLen 240916 -parentBuildID 20230821110938 -appDir /usr/lib/firefox-esr/browser {a17bcc22-bb70-4b45-b6c2-13fec81f8224} 4399 true tab
jpyeon     40143    4399  0 22:03 ?        00:00:00 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 19 -isForBrowser -prefsLen 30462 -prefMapSize 233266 -jsInitLen 240916 -parentBuildID 20230821110938 -appDir /usr/lib/firefox-esr/browser {99f79af6-2072-42ee-ab3a-995e05a95eab} 4399 true tab
root       40834       2  0 22:05 ?        00:00:00 [kworker/u8:2-flush-254:0]
root       41180       2  0 22:05 ?        00:00:01 [kworker/0:0-events]
jpyeon     42421    1128  0 22:08 ?        00:00:00 /usr/libexec/gvfsd-computer --spawner :1.20 /org/gtk/gvfs/exec_spaw/1
jpyeon     43579    4399  0 22:10 ?        00:00:00 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 20 -isForBrowser -prefsLen 30462 -prefMapSize 233266 -jsInitLen 240916 -parentBuildID 20230821110938 -appDir /usr/lib/firefox-esr/browser {e75038ec-1f86-47c2-a7c7-233541fba9a7} 4399 true tab
root       43661       2  0 22:10 ?        00:00:00 [kworker/3:0-events]
root       43663       2  0 22:10 ?        00:00:00 [kworker/1:2-events]
jpyeon     43682    4399  0 22:10 ?        00:00:00 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 21 -isForBrowser -prefsLen 30462 -prefMapSize 233266 -jsInitLen 240916 -parentBuildID 20230821110938 -appDir /usr/lib/firefox-esr/browser {87bd9bba-ec3d-414a-8206-477a0e69d33e} 4399 true tab
jpyeon     43726    4399  0 22:10 ?        00:00:00 /usr/lib/firefox-esr/firefox-esr -contentproc -parentBuildID 20230821110938 -prefsLen 34904 -prefMapSize 233266 -appDir /usr/lib/firefox-esr/browser {42536c58-0211-4712-9f7f-f0ed28e895f6} 4399 true rdd
jpyeon     43750    4399  0 22:10 ?        00:00:00 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 22 -isForBrowser -prefsLen 30462 -prefMapSize 233266 -jsInitLen 240916 -parentBuildID 20230821110938 -appDir /usr/lib/firefox-esr/browser {815f782e-5da6-4fd3-be48-647e407ff6de} 4399 true tab
jpyeon     43970    1128  0 22:11 ?        00:00:00 /usr/libexec/gvfsd-recent --spawner :1.20 /org/gtk/gvfs/exec_spaw/2
jpyeon     44117       1  0 22:11 ?        00:00:00 /usr/bin/qterminal
jpyeon     44120   44117  0 22:11 pts/1    00:00:00 /usr/bin/zsh
root       44876       2  0 22:12 ?        00:00:00 [kworker/2:0-mm_percpu_wq]
root       51630       2  0 22:26 ?        00:00:00 [kworker/2:1]
root       59882       2  0 22:43 ?        00:00:00 [kworker/1:0-events_power_efficient]
root       60252       2  0 22:44 ?        00:00:00 [kworker/0:1-events]
jpyeon     61672     990  0 22:46 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/xfconf/xfconfd
root       62876       2  0 22:48 ?        00:00:00 [kworker/1:1-mm_percpu_wq]
root       63222       2  0 22:49 ?        00:00:00 [kworker/0:2-events]
jpyeon     63438    1490  0 22:49 pts/0    00:00:00 ps -ef
